"Asset Amount","Asset Name","Received Date","Date Sold","Proceeds (USD)","Cost Basis (USD)","Gain (USD)","Type"
0.00084000,BTC,12/08/2021,04/11/2022,34.19096688,42.09761648,-7.90664960,Short Term
0.00200206,BTC,12/08/2021,05/04/2022,79.25798853,100.33565959,-21.07767106,Short Term
0.00000206,BTC,12/08/2021,05/04/2022,0.08163573,0.10323939,-0.02160366,Short Term
0.00000439,BTC,12/08/2021,05/12/2022,0.12782322,0.22001016,-0.09218694,Short Term
0.00028333,BTC,12/14/2021,05/12/2022,8.24969331,13.47640275,-5.22670944,Short Term
0.00047700,BTC,04/08/2022,05/12/2022,13.88876473,20.90804816,-7.01928343,Short Term
0.00084203,BTC,04/11/2022,05/12/2022,24.51730936,34.68798132,-10.17067196,Short Term
0.00084258,BTC,04/12/2022,05/12/2022,24.53332366,34.45966334,-9.92633968,Short Term
0.00004361,BTC,05/05/2022,05/12/2022,1.26978832,1.61378913,-0.34400081,Short Term
0.00037443,BTC,05/06/2022,05/12/2022,10.90224356,13.68684095,-2.78459739,Short Term
0.00051125,BTC,05/09/2022,05/12/2022,14.88601880,16.03274274,-1.14672394,Short Term
0.00052454,BTC,05/09/2022,05/12/2022,15.27298249,16.03234270,-0.75936020,Short Term
0.00000587,BTC,05/11/2022,05/12/2022,0.17114426,0.17218354,-0.00103927,Short Term
0.00050271,BTC,05/11/2022,05/12/2022,14.63736041,14.74589189,-0.10853148,Short Term
0.00008142,BTC,05/11/2022,12/30/2022,1.34831468,2.38827658,-1.03996189,Short Term
0.00115831,BTC,05/12/2022,12/30/2022,19.18160622,30.12347318,-10.94186696,Short Term
0.00000793,BTC,07/04/2022,12/30/2022,0.13159268,0.00000000,0.13159268,Short Term
0.00004624,BTC,07/18/2022,07/18/2022,0.98256914,0.98256914,0.00000000,Short Term
0.00018730,BTC,07/18/2022,12/30/2022,3.10168681,3.98000000,-0.87831319,Short Term
0.00099578,BTC,08/29/2022,12/30/2022,16.49011046,20.00000000,-3.50988954,Short Term
0.00125792,BTC,09/05/2022,12/30/2022,20.83114719,25.00000000,-4.16885281,Short Term
0.00052109,BTC,09/06/2022,12/30/2022,8.62924708,10.00000000,-1.37075292,Short Term
0.00052603,BTC,09/07/2022,12/30/2022,8.71105345,10.00000000,-1.28894655,Short Term
0.00036912,BTC,09/20/2022,12/30/2022,6.11262485,7.02000000,-0.90737515,Short Term
0.00100204,BTC,11/08/2022,12/30/2022,16.59377602,20.00000000,-3.40622398,Short Term
0.00116114,BTC,11/09/2022,12/30/2022,19.22847101,20.00000000,-0.77152899,Short Term
0.00124382,BTC,11/09/2022,12/30/2022,20.59765128,20.00000000,0.59765128,Short Term
0.00123904,BTC,11/14/2022,12/30/2022,20.51849451,20.00000000,0.51849451,Short Term
0.00124125,BTC,11/21/2022,12/30/2022,20.55509210,19.70066105,0.85443104,Short Term
0.00001886,BTC,11/21/2022,12/30/2022,0.31296820,0.29933895,0.01362926,Short Term
0.00087719,BTC,12/02/2022,12/30/2022,14.52626081,15.00000000,-0.47373919,Short Term
0.00110298,BTC,12/29/2022,12/30/2022,18.26534178,20.00000000,-1.73465822,Short Term
26.55000000,XTZ,01/04/2022,01/04/2022,122.04769500,124.96023000,-2.91253500,Short Term
0.00139919,BNB,12/25/2021,01/09/2022,0.62638961,0.77955274,-0.15316313,Short Term
0.13000000,BNB,01/09/2022,01/09/2022,48.50116089,58.99955378,-10.49839289,Short Term
0.02000000,BNB,01/09/2022,01/09/2022,8.81839289,0.00000000,8.81839289,Short Term
0.00007500,BNB,01/09/2022,01/09/2022,0.03306897,0.03306897,0.00000000,Short Term
0.00010500,BNB,01/09/2022,01/09/2022,0.04629656,0.04629656,0.00000000,Short Term
0.00061134,BNB,01/09/2022,01/09/2022,0.27707166,0.26981928,0.00725239,Short Term
0.04860081,BNB,01/09/2022,01/09/2022,21.75755092,21.45031300,0.30723793,Short Term
0.04987527,BNB,01/09/2022,01/09/2022,21.56350732,22.01280649,-0.44929918,Short Term
0.00098423,BNB,01/09/2022,01/09/2022,0.43396414,0.43439474,-0.00043060,Short Term
0.00098423,BNB,01/09/2022,01/09/2022,0.43396414,0.43439474,-0.00043060,Short Term
0.00064193,BNB,01/09/2022,01/09/2022,0.28303734,0.28331819,-0.00028084,Short Term
0.00122645,BNB,01/09/2022,01/09/2022,0.54076590,0.54130247,-0.00053658,Short Term
0.00010000,BNB,01/09/2022,01/09/2022,0.00000000,0.54080965,-0.54080965,Short Term
0.00060209,BNB,01/09/2022,01/17/2022,0.28676590,0.26573452,0.02103138,Short Term
0.00096455,BNB,01/09/2022,01/17/2022,0.45940127,0.42570883,0.03369244,Short Term
0.00085488,BNB,01/09/2022,01/18/2022,0.40359742,0.37769040,0.02590702,Short Term
0.00035674,BNB,01/09/2022,01/18/2022,0.16902107,0.15761025,0.01141082,Short Term
0.00055245,BNB,01/17/2022,01/17/2022,0.26312534,0.26312534,0.00000000,Short Term
0.00011158,BNB,01/17/2022,01/17/2022,0.05314422,0.05314422,0.00000000,Short Term
0.04998081,BNB,01/17/2022,01/18/2022,23.59654077,23.82952766,-0.23298688,Short Term
0.04968903,BNB,01/17/2022,01/18/2022,23.45878753,23.69041427,-0.23162674,Short Term
0.00010500,BNB,01/18/2022,01/18/2022,0.04974831,0.00000000,0.04974831,Short Term
0.01000000,MANA,10/09/2021,11/15/2022,0.00440348,0.00860352,-0.00420004,Long Term
19.33000000,MANA,10/09/2021,11/15/2022,8.51192189,16.63060436,-8.11868246,Long Term
11.70787985,MANA,10/09/2021,11/15/2022,5.15553848,10.07289796,-4.91735948,Long Term
5.47000000,MANA,11/12/2021,11/15/2022,2.40870216,17.78400930,-15.37530714,Long Term
0.19000000,MANA,11/16/2021,11/15/2022,0.08366607,0.62195610,-0.53829003,Short Term
7.05298929,MANA,11/26/2021,11/15/2022,3.10576792,35.00000000,-31.89423208,Short Term
61.51271686,ZRX,07/02/2021,01/17/2022,43.72311304,51.07124881,-7.34813577,Short Term
45.31703246,ZRX,07/02/2021,11/15/2022,8.02096808,37.62469873,-29.60373065,Long Term
2.82860622,ZRX,07/03/2021,11/15/2022,0.50065415,2.48346241,-1.98280827,Long Term
48.16071395,ZRX,07/03/2021,11/15/2022,8.52429050,42.28418999,-33.75989949,Long Term
24.22051113,ZRX,07/03/2021,11/15/2022,4.28695208,21.26514768,-16.97819559,Long Term
50.00000000,ZRX,07/03/2021,11/15/2022,8.84983818,43.89904813,-35.04920995,Long Term
4.66728983,ZRX,07/03/2021,11/15/2022,0.82609519,4.09779162,-3.27169642,Long Term
3.28359282,ZRX,07/03/2021,11/15/2022,0.58118530,2.88293198,-2.30174668,Long Term
1.83928605,ZRX,07/03/2021,11/15/2022,0.32554768,1.61485814,-1.28931046,Long Term
15.00000000,ZRX,07/03/2021,11/15/2022,2.65495145,13.16971444,-10.51476299,Long Term
3.31957174,ZRX,09/18/2021,04/21/2022,3.63327127,3.74539115,-0.11211988,Short Term
11.68042826,ZRX,09/20/2021,04/21/2022,12.78422873,11.39437682,1.38985191,Short Term
8.42042826,ZRX,09/20/2021,11/15/2022,1.49038855,8.21421360,-6.72382505,Long Term
10.65228191,ZRX,09/20/2021,11/15/2022,1.88541942,10.39140958,-8.50599016,Long Term
18.22000000,ZRX,09/27/2021,11/15/2022,3.22488103,17.66328593,-14.43840490,Long Term
0.00692568,ZRX,09/27/2021,11/15/2022,0.00122582,0.00671407,-0.00548824,Long Term
8.88087528,ZRX,09/28/2021,11/15/2022,1.57188618,8.64000000,-7.06811382,Long Term
5.21384672,ZRX,09/28/2021,11/15/2022,0.92283399,4.57531099,-3.65247699,Long Term
9.78615328,ZRX,09/28/2021,11/15/2022,1.73211746,8.59081783,-6.85870038,Long Term
35.77948887,ZRX,09/28/2021,11/15/2022,6.33285373,31.40918217,-25.07632844,Long Term
0.47395601,ZRX,12/04/2021,01/17/2022,0.33688696,0.41613116,-0.07924420,Short Term
10.00000000,ZRX,12/04/2021,11/15/2022,1.76996764,8.77995316,-7.00998552,Short Term
18.00000000,ZRX,12/04/2021,11/15/2022,3.18594174,15.80391568,-12.61797394,Short Term
30.12000000,ZRX,12/05/2021,11/15/2022,5.33114252,25.14467328,-19.81353076,Short Term
0.00153000,ZRX,12/05/2021,11/15/2022,0.00027081,0.00127727,-0.00100646,Short Term
44.50000000,ZRX,12/05/2021,11/15/2022,7.87635598,37.01957848,-29.14322250,Short Term
0.00561000,ZRX,12/05/2021,11/15/2022,0.00099295,0.00466696,-0.00367401,Short Term
2.39640982,ZRX,12/06/2021,11/15/2022,0.42415678,1.94000000,-1.51584322,Short Term
2.67500501,ZRX,12/06/2021,11/15/2022,0.47346723,2.20000000,-1.72653277,Short Term
1.67097626,ZRX,12/06/2021,11/15/2022,0.29575739,1.35000000,-1.05424261,Short Term
30.91513000,ZRX,12/11/2021,11/15/2022,5.47187795,25.98534649,-20.51346853,Short Term
28.62346000,ZRX,12/12/2021,11/15/2022,5.06625978,24.14505892,-19.07879914,Short Term
22.55000000,ZRX,12/14/2021,11/15/2022,3.99127702,17.14300497,-13.15172796,Short Term
